"Variety Name",Description,Parentage,"IVT Variety","Breeder Name","Breeder Address 1","Breeder Address 2","Breeder Town","Breeder Region","Breeder Postcode","Breeder Country","Breeder Email","Breeder Webpage","Breeder Phone","Breeder Fax","Breeder Agent Name","Breeder Agent Address 1","Breeder Agent Address 2","Breeder Agent Town","Breeder Agent Region","Breeder Agent Postcode","Breeder Agent Country","Breeder Agent Email","Breeder Agent Webpage","Breeder Agent Phone","Breeder Agent Fax","Breeder Rights (expiry)","Shape of tuber","Colour of skin","Colour of flesh","Depth of eyes","Smoothness of skin","Colour of base of lightsprout",Maturity,"Height of plants","Colour of flower","Frequency of berries","Resistance to bruising","Resistance to splitting","Resistance to Potato Virus YO","Resistance to Potato Virus YN","Resistance to Potato Virus A","Resistance to Potato mop top (spraing)","Resistance to Potato Leafroll Virus","Resistance to Potato Cyst Nematode (Pa 2/3 - 1) (Globodera pallida Pa 2/3 - 1)","Resistance to Potato Cyst Nematode (Ro1) (Globodera rostochiensis Ro1)","Resistance to common scab (Streptomyces scabiei)","Resistance to blackleg (Pectobacterium atrosepticum)","Resistance to dry rot (Fusarium sulphureum)","Resistance to dry rot (Fusarium coeruleum)","Resistance to skin spot (Polyscytalum pustulans)","Resistance to silver scurf (Helminthosporium solani)","Resistance to black dot (Colletotrichum coccodes)","Resistance to powdery scab (Spongospora subterranea)","Resistance to late blight on tubers (Phytophthora infestans)","Resistance to late blight on foliage (Phytophthora infestans)",Dormancy,"Dry Matter",Determinacy,"Cooking Type"
Ambassador,..,"AR91-1012 x Innovator",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Oval - long",Yellow,"Light yellow",Shallow,-,-,"First Early",Medium,-,-,5,3,-,-,-,-,-,6,4,3,2,8,9,7,6,3,6,2,4,-,-,-,-
Ambo,"Ambo is a very attractive early maturing versatile parti-coloured variety with good foliage and tuber late blight resistance.  High yielding in a wide range of soil types and presents good drought resistance.  Resistance to late blight on tubers.  Susceptible to potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa3/2,1.  Susceptible to potato virus Yo.","Desiree x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2021,"Short - oval","Red parti-coloured",Cream,Deep,Medium,Violet,"Early Maincrop","Medium - tall",White,Medium,6,6,2,-,-,-,4,2,2,6,5,-,-,-,-,-,5,8,6,-,-,-,-
Amora,"Amora will produce high yields of uniform, oval tubers with yellow skins and flesh.  An early bulking variety with good all-round disease resistance, well suited to the early processing market.  susceptible to Powdery scab, Blackleg, Bruising and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  Resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and Splitting.","Premiere x Anosta",1,"Schaap BV","Postbus 7",,Biddinghuizen,,"8256 ZG",NETHERLANDS,info@schaapholland.com,www.schaapholland.com,"+31 (0)321-335050","+31 (0)321-335050","Mercian Ltd","Unit 4 The Barns, Highfield Farm","Mill Lane, Snelson",Macclesfield,Cheshire,"SK11 9BN","UNITED KINGDOM",Paul.Knight@mercian.org,http://www.mercian.org/,"01263 761486",,2029,Oval,Yellow,-,-,-,Pink,"Early Maincrop",Medium,White,Medium,3,8,-,-,-,-,-,2,8,4,1,4,7,8,6,5,3,5,4,-,-,-,-
Amorosa,..,"Arinda x Impala",1,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245","Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Oval - long",Red,"Medium yellow",Shallow,Medium,Pink,-,-,White,Many,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andeana,,"97.MT.106 B 182 x 99.H.32 A 3",1,"James Hutton Institute",Mylnefield,Invergowrie,Dundee,,"DD2 5DA","UNITED KINGDOM",,,"+44(0)1382 562731","+44(0)1382 562426",-,-,-,-,-,-,-,-,-,-,-,-,"Short - oval",Yellow,"Medium yellow","Shallow - medium",-,Pink,"Late Maincrop",Tall,-,-,6,7,-,-,-,8,-,3,4,7,6,4,5,5,7,7,6,4,-,-,-,-,-
Angelique,"Early salad variety.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 7 for common scab and a 6 for mop top (spraing).","Amandine x Lyra",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2047,Long,Yellow,"Light yellow","Very shallow - shallow",Smooth,-,"First Early",-,White,-,6,1,-,-,-,-,-,1,8,-,3,1,8,4,4,3,6,3,3,Medium,18%,-,Salad
Anna,"Anna produces a high yield of bright tubers suitable for pre-packing.  It shows very good storage capability.  Susceptible to Powdery scab, potato cyst nematode <i> Globodera pallida </i> Pa 2/3,1. common scab, potato cyst nematode <i> Globodera rostochiensis </i> Ro1, Bruising and Splitting.","OP 4051/2 x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,Oval,Cream,Cream,Shallow,Smooth,Absent,"Early Maincrop","Medium - tall",White,Medium,7,7,6,-,-,-,4,2,9,7,4,-,-,-,-,-,3,4,4,-,-,-,-
Annabelle,"Tubers have some  resistance to splitting and good  resistance to bruising.Â Â Trials have found good resistance to skin spot, silver scurf, black dot and bruising. Â This variety has low resistance to late blight on tubers and on foliage. Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1 and Splitting.","Nicola x Monalisa",1,-,-,-,-,-,-,-,-,-,-,-,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",-,-,White,-,-,-,Pink,"First Early",-,White,-,7,3,-,-,-,-,-,2,8,6,6,5,6,7,8,9,5,1,2,-,-,-,-
Antarctica,"Maincrop variety.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 6 for common scab and a 7 for mop top (spraing).","Navan x Pentland Ivory",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","IPM Potato Group Limited","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info.uk@ipmpotato.com,www.ipmpotato.com," +44 1307 818131",,2046,"Oval - long",Cream,Cream,Shallow,-,-,Maincrop,-,White,-,5,6,-,-,-,-,-,1,1,-,7,4,8,7,8,7,5,5,4,-,-,-,-
Anya,"Anya is a speciality variety with distinct nutty taste and waxy texture.  Very long oval tubers with parti-coloured skins and cream flesh.  Will produce high tuber numbers. Tests show susceptibility to late blight on foliage, powdery scab, potato cyst nematode <i> Globodera pallida</i> Pa3/2, 1, potato cyst nematode <i> Globodera rostchiensis </i> Ro1, Potato Virus Yo and Splitting.  Resistance to common scab.","Pink Fir Apple x Desiree",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Albert Bartlett and Sons (Airdrie) Ltd","New Monkland","251 Stirling Road",Airdrie,Lanarkshire,"ML6 7SP","UNITED KINGDOM",,,,,2026,"Oval - long",White,White,"Very deep",Medium,Pink,"Second Early",-,-,Absent,5,3,2,-,-,-,6,2,2,8,6,-,-,-,-,5,3,4,3,-,-,-,-
Apache,"Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to blackleg and dry rot (<i>Fusarium sulphureum</i>).Â Â This variety has low resistance to potato leafroll virus and late blight on tubers. Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Stroma x S. phureja seedling",1,"Zella J. Doig",Cavilston,"Old Fargie",Glenfarg,Perth,"PH29 9QF","UNITED KINGDOM",,,,,"Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2040,"Short - oval","Red parti-coloured","Medium yellow","Medium - deep",-,Pink,"Early Maincrop","Medium - tall","Red violet",-,7,7,4,-,-,-,1,2,3,5,7,9,4,8,6,4,5,2,5,-,-,-,-
Argos,"Argos is a variety well adapted to production in hot climates, where it produces very high yields of long oval white tubers, usually out yielding the variety Spunta. ","143-27 (ex Solanum vernei) x Cara",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2024,"Oval - long",Cream,Cream,Shallow,Smooth,Blue,"Early Maincrop",Medium,"Blue violet",Few,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ariata KWS","Ariata is for the French fry market and can grow on most soil types, with high potential yields. Ariata has white flesh with a regular tuber shape. This variety has stable dry matter content and good resistant to bruising. Ariata has good resistance to G. Pallida.
","Omega x Horizon",,"Stet Holland","Produktieweg 2a",,Emmeloord,,"8304 AV",NETHERLANDS,,,,,"Stet Potato Ltd","12 Vincent Court","Turnstone Road, Teal Park",Lincoln,,"LN6 3AE","UNITED KINGDOM",peter.hewett@stet-potato.com,http://www.stet-potato.com/en/,07788311967,,-,"Oval - long",Cream,"Light yellow",Shallow,Medium,-,Maincrop,Medium,-,Few,7,7,-,-,-,-,-,7,9,7,-,-,-,-,-,-,-,5,6,Long,-,-,-
Arizona,"Trials have found good resistance to potato mop top (spraing).Â Â This variety has low resistance to black dot, dry rot (<i>Fusarium sulphureum</i>) and late blight on foliage and tubers.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","UK 150-19D22 x MASCOTTE",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,Oval,Yellow,"Light yellow",-,-,-,"Early Maincrop",-,-,-,6,5,-,-,-,-,-,2,8,4,5,1,6,3,5,1,3,1,3,-,-,-,-
"Arran Banner","This second early variety was bred by Donald McKelvie and first marketed around 1927.  Arran Banner produces a moderate yield of round, white-skinned tubers with white flesh.  Tests show suseptibility to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa 2/3,1.  ","Suttons Abundance x Flourball",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Round,Cream,Cream,"Medium - deep",Smooth,Pink,-,-,White,Absent,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Arran Comet","Long oval, white tubers with white to cream flesh. Short dormancy. High yields and early bulking. Susceptible to virus Y, spraing (TRV). Medium dry matter.
Through tests has shown susceptibility to Dry rot <i> fusarium coeruleum </i>, late blight on both foliage and tubers, potato cyst nematode <i> Globodera rostochiensis </i>, potato cyst nematode <i> Globodera pallida </i> and potato virus Yo.
","Di Vernon x pepo",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Oval,White,Cream,"Shallow - medium",Smooth,Blue,"First Early","Short - medium","Blue violet",-,5,5,2,-,-,-,4,2,2,4,4,-,3,-,-,-,4,2,2,-,-,-,-
"Arran Pilot","Trials have found good resistance to common scab.Â Â This variety has low resistance to dry rot <i> fusarium coeruleum </i>, late blight on foliage, late blight on tubers and potato virus Yo.  Tests show good resistance to common scab.","May Queen x Pepo",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",Cream,White,"Shallow - medium",Medium,Blue,"First Early",Medium,"Blue violet",Few,-,-,2,-,-,-,3,-,-,7,-,-,2,5,-,-,-,2,2,-,-,-,-
"Arran Victory","Arran Victory is a tall, late maincrop variety first marketed in 1918 and bred by Donald McKelvie. It produces a moderately high yield of oval, blue-skinned tubers with white floury flesh. Susceptibility to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa 2/3,1.","Seedling of Suttons Abundance",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Short - oval",Blue,White,Medium,Smooth,Blue,Maincrop,Tall,White,Absent,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arrow,"Tubers have some  resistance to splitting and good  resistance to bruising.Â Â Trials have found good resistance to silver scurf.Â Â Tests demonstrated resistance to potato cyst nematode <i>Globodera rostochiensis</i> Ro1  and susceptibility to potato cyst nematode <i>Globodera pallida</i> Pa 2/3, 1, Dry rot <i> fusarium coeruleum </i> and late blight on foliage.  ","Solara x Fresco",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,-,White,-,-,-,-,"First Early",Short,-,-,6,4,-,-,-,-,-,2,9,5,4,4,3,6,7,5,5,4,3,-,-,-,-
Arsenal,,"AR 92-1146 x Silvester",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Short - oval",Yellow,"Light yellow",Medium,-,Blue,"Early Maincrop","Medium - tall",White,-,7,5,-,-,-,-,-,9,6,4,4,1,9,3,7,2,6,2,4,Medium,24.4%,-,-
Asparges,"Asparges susceptible to late blight on foliage and tubers.  Tests for resistance to potato cyst nematode demonstrated susceptibility to both potato cyst nematode<i>Globodera rostochiensis</i> Ro1  and potato cyst nematode <i>Globodera pallida</i> Pa 2/3, 1.","= Ratte",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Long,Yellow,"Medium yellow","Medium - deep",-,Pink,"Early Maincrop","Short - medium","Red violet",Few,-,-,-,-,-,-,5,2,2,6,-,-,-,-,-,-,-,3,3,-,-,-,-
Asterix,"Asterix is a high yielding late main crop variety of long oval uniform red tubers with yellow flesh, with high dry matters and pale fry colours well suited to production of French fries and processed products.  Tests show susceptibility to late blight on foliage, powdery scab, silver scurf, potato leaf roll virus, potato virus Yo and potato cyst nematode <i> Globodera pallida</i> Pa2/3,1.  Resistance to Blackleg, Bruising, Splitting, Dry rot <i> Fusarium coeruleum </i> and potato cyst nematode <i> Globodera rostochiensis </i>Ro1.","Cardinal x SVP VE70-9",1,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99","HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",2021,"Oval - long",Red,"Light yellow","Shallow - medium",Medium,Pink,Maincrop,-,"Red violet",Few,7,7,3,-,-,-,3,2,9,6,8,4,8,4,3,4,3,5,3,-,-,-,-
Athlete,"Athlete is a second early variety ideally suited to the fresh and punnet market.  It is suitable for organic production, requiring low inputs.  Tests for potato cyst nematode demostrated resistance to <i>Globodera rostochiensis</i> Ro1 but susceptibility to  <i>Globodera pallida</i> Pa 2/3, 1.  Athlete has resistance to blackleg, foliage late blight and tuber late blight, but is susceptible to common scab.","AR 99-263-5 x Miriam",,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,Oval,Yellow,"Light yellow",Shallow,-,-,"Second Early",-,Violet,-,8,7,6,-,-,-,-,1,8,4,8,7,-,-,-,-,-,9,9,Short,22.8%,-,Salad
Atlantic,"Suitable for processing â€“ crisps. Oval, yellow tubers with cream flesh. Moderate yields with low outgrade levels, mainly mechanical damage and greens, high dry matter.. Susceptible to splitting, bruising, late blight on foliage and tubers, potato virus Yo, potato cyst nematode <i> Globodera pallida </i> Ps2/3,1, gangrene, virus Y and spraing. Resistant to potato cyst nematode <i> Globodera rostochiensis</i> Ro1. ","Wauseon x Lenape",1,"United States Department of Agriculture","1400 Independence Ave., S.W.",,Washington,,"DC 20250","UNITED STATES",,www.usda.gov,,,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Short - oval",Cream,Cream,"Shallow - medium",Medium,Pink,"Early Maincrop",Medium,"Red violet",Medium,3,3,3,-,-,-,6,2,9,6,5,-,-,-,-,-,-,3,3,-,-,-,-
